seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_bands,bands,symbol_entropy_bits,conditional_bit_entropy_sum,bmd_gmi_bits_per_symbol,gmi,ngmi,ber,gsnr_db,air_tbps,air_tbps_per_channel,rate_tbps,rate_tbps_per_channel
1,C,6,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,4.0,0.1017897452765888,3.898210254723411,3.898210254723411,0.9745525636808527,0.0064697265625,14.813333886150442,0.49897091260459664,0.49897091260459664,0.49897091260459664,0.49897091260459664
1,C,6,-2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,3.996679855921233,0.07380873766419334,3.9228711182570395,3.9228711182570395,0.9815478155839517,0.0045166015625,14.921034868142034,0.502127503136901,0.502127503136901,0.502127503136901,0.502127503136901
1,C,6,-2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,3.9941028013225788,0.08918998838353326,3.9049128129390454,3.9049128129390454,0.9777025029041166,0.005279541015625,14.754385275377413,0.4998288400561978,0.4998288400561978,0.4998288400561978,0.4998288400561978
1,C,6,-2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,3.990796214317659,0.07833271108681011,3.9124635032308492,3.9124635032308492,0.9804168222282975,0.0047607421875,14.790316697977131,0.5007953284135487,0.5007953284135487,0.5007953284135487,0.5007953284135487
1,C,6,-2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,3.9867651399345525,0.07225992809164239,3.91450521184291,3.91450521184291,0.9819350179770894,0.00469970703125,14.779707527360312,0.5010566671158925,0.5010566671158925,0.5010566671158925,0.5010566671158925
1,C,6,-2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,3.982015709386646,0.07510650266204447,3.9069092067246016,3.9069092067246016,0.9812233743344889,0.00482177734375,14.737245805539702,0.500084378460749,0.500084378460749,0.500084378460749,0.500084378460749
1,C,6,-2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,3.976555119443372,0.06641538484496162,3.91013973459841,3.91013973459841,0.9833961537887596,0.0040283203125,14.843824277306828,0.5004978860285965,0.5004978860285965,0.5004978860285965,0.5004978860285965
1,C,6,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.970391608345835,0.06296820350157774,3.907423404844257,3.907423404844257,0.9842579491246055,0.004150390625,14.802091000914608,0.5001501958200649,0.5001501958200649,0.5001501958200649,0.5001501958200649
1,C,6,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,4.0,0.11265916861948941,3.8873408313805107,3.8873408313805107,0.9718352078451277,0.00732421875,14.64469800922748,0.4975796264167054,0.4975796264167054,0.4975796264167054,0.4975796264167054
1,C,6,0.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,3.996679855921233,0.09470191449978077,3.901977941421452,3.901977941421452,0.9763245213750548,0.005828857421875,14.69632693698772,0.4994531765019459,0.4994531765019459,0.4994531765019459,0.4994531765019459
1,C,6,0.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,3.9941028013225788,0.08590014260344081,3.908202658719138,3.908202658719138,0.9785249643491398,0.005340576171875,14.642912465319785,0.5002499403160496,0.5002499403160496,0.5002499403160496,0.5002499403160496
1,C,6,0.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,3.990796214317659,0.0997339265932527,3.8910622877244063,3.8910622877244063,0.9750665183516868,0.006103515625,14.60932306315888,0.498055972828724,0.498055972828724,0.498055972828724,0.498055972828724
1,C,6,0.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,3.9867651399345525,0.08208326359368859,3.904681876340864,3.904681876340864,0.9794791841015779,0.004913330078125,14.734281656385056,0.4997992801716306,0.4997992801716306,0.4997992801716306,0.4997992801716306
1,C,6,0.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,3.982015709386646,0.07989165432032415,3.902124055066322,3.902124055066322,0.980027086419919,0.0050048828125,14.625756829577387,0.4994718790484892,0.4994718790484892,0.4994718790484892,0.4994718790484892
1,C,6,0.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,3.976555119443372,0.07683581398828399,3.899719305455088,3.899719305455088,0.980791046502929,0.00457763671875,14.6560553662897,0.4991640710982513,0.4991640710982513,0.4991640710982513,0.4991640710982513
1,C,6,0.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.970391608345835,0.07960196322689918,3.8907896451189354,3.8907896451189354,0.9800995091932752,0.00494384765625,14.588795578759841,0.49802107457522377,0.49802107457522377,0.49802107457522377,0.49802107457522377
1,C,6,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,4.0,0.15528833220504176,3.844711667794958,3.844711667794958,0.9611779169487396,0.00958251953125,14.271233030663286,0.4921230934777546,0.4921230934777546,0.4921230934777546,0.4921230934777546
1,C,6,2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,3.996679855921233,0.1281997304926673,3.8684801254285657,3.8684801254285657,0.9679500673768332,0.007415771484375,14.255557636591751,0.4951654560548564,0.4951654560548564,0.4951654560548564,0.4951654560548564
1,C,6,2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,3.9941028013225788,0.13119337865819608,3.8629094226643828,3.8629094226643828,0.967201655335451,0.00823974609375,14.212054522296846,0.494452406101041,0.494452406101041,0.494452406101041,0.494452406101041
1,C,6,2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,3.990796214317659,0.1165278079929657,3.8742684063246933,3.8742684063246933,0.9708680480017585,0.00701904296875,14.24719726490036,0.49590635600956073,0.49590635600956073,0.49590635600956073,0.49590635600956073
1,C,6,2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,3.9867651399345525,0.10276432950718374,3.8840008104273687,3.8840008104273687,0.974308917623204,0.006103515625,14.347497904080011,0.4971521037347032,0.4971521037347032,0.4971521037347032,0.4971521037347032
1,C,6,2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,3.982015709386646,0.0982582015014981,3.883757507885148,3.883757507885148,0.9754354496246255,0.00592041015625,14.2966260490097,0.4971209610092989,0.4971209610092989,0.4971209610092989,0.4971209610092989
1,C,6,2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,3.976555119443372,0.11547033444722213,3.86108478499615,3.86108478499615,0.9711324163881945,0.006744384765625,14.234981559920325,0.4942188524795072,0.4942188524795072,0.4942188524795072,0.4942188524795072
